"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","predtest"
"1334",7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8,6.87672511880023
"1338",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,5.87185576916591
"1348",8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7,6.1176339114281
"1355",7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,5.68688393421632
"1359",6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,6.17383639043303
"1361",6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6,6.19891103128255
"1366",6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7,5.90268001848279
"1367",7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6,6.20962996590287
"1376",6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7,6.03100930082095
"1377",6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6,5.78089663798732
"1385",6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6,5.89937438906742
"1390",8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6,5.93253585871811
"1392",6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6,6.57192415942343
"1396",6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,6.53339346476769
"1403",7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8,5.83900038984395
"1409",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,5.39243886804109
"1412",7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6,6.37535657429951
"1427",7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6,6.36519726111568
"1429",8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7,6.06267978477248
"1440",6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,5.51055120844398
"1449",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,6.1615212641833
"1453",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,6.10558711233931
"1457",6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,6.157193871285
"1463",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,6.1615212641833
"1468",7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7,6.51799218145647
"1469",6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,5.42287538642651
"1474",7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6,6.16454994135131
"1475",6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,5.15926353823189
"1476",7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,5.87167298159811
"1484",6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,5.15926353823189
"1487",6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,5.74027506998503
"1491",5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,6.13614507838314
"1493",8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5,5.79575415313669
"1496",7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,7,6.56781534354725
"1499",7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6,6.25033992607966
"1501",7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,6.20246129807355
"1503",6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,5.11035371811447
"1511",8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5,5.58066502855676
"1515",7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,6.20246129807355
"1522",6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,5.11035371811447
"1525",6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6,5.82899610950678
"1529",7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,5.9899581400225
"1533",7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7,6.20751234886669
"1548",6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6,5.46718128225272
"1555",7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,5.69432662535777
"1557",7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6,5.86483390357938
"1595",7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,5.23094043160469
"1596",6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,5.54441997953119
"1604",5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,6.59381704359091
"1606",7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9,6.76813327024104
"1608",5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7,5.8454779166873
"1610",8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7,6.08620997195422
"1613",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,6.04341660256705
"1614",8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7,6.2085133548473
"1615",8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5,6.15739217189492
"1617",6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,5.30672379798415
"1620",6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8,6.38690338773581
"1621",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,6.04341660256705
"1629",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,6.09320806873026
"1635",8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6,5.76178193497219
"1640",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,5.91997061255351
"1642",6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6,5.92586551377325
"1643",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7,5.84890562334042
"1649",7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5,5.61545951289222
"1659",6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,5.20451763719008
"1668",8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6,6.07467734142056
"1693",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6,6.3866356511663
"1695",7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6,5.59644929114047
"1696",7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,6.10858906249085
"1702",7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,5.95255712929771
"1704",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,5.22531787651133
"1706",6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6,6.16882385746805
"1710",6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5,5.97141615778676
"1713",7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,5.62345944591339
"1717",7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,6.12171587506362
"1718",6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6,5.52954272300768
"1730",7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6,6.52273537473106
"1732",8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6,5.91069391594325
"1735",6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,5.75599739957655
"1737",6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,4.97097544321986
"1755",6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6,6.31644188497313
"1761",6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6,5.82805587869258
"1762",8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6,5.752901796573
"1764",7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6,6.01298343286221
"1778",6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,5.780253375071
"1783",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,6.59386582367029
"1790",7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7,6.68254938630872
"1793",7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6,5.80028893714709
"1795",6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5,5.02937328119216
"1797",7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,6.00826242753977
"1798",6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8,6.40833686873343
"1800",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6,5.8535053855921
"1801",7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6,5.60379400183083
"1806",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,5.43582543008772
"1813",5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,6.05337999022712
"1817",6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7,6.80529273386907
"1819",6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6,6.54563682993819
"1821",6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6,6.10715044476645
"1823",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7,6.21611738271526
"1838",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,6.3088738801889
"1848",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,5.26381914068091
"1850",7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6,6.16745187428868
"1862",7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6,6.02364700147981
"1865",7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6,5.91832253731812
"1877",8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6,5.73438682815859
"1881",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,5.74231128003811
"1890",7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5,6.00323929576315
"1891",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,5.74231128003811
"1896",7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6,5.74521214099114
"1907",6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,5.55536930803231
"1908",7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7,6.4111302315045
"1909",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,6.28436950346993
"1917",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,5.49628232518672
"1923",7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5,5.67074515695709
"1929",7,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,6.17219693534808
"1936",8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,5.79319856696231
"1940",6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5,5.2201804998775
"1944",6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5,5.79131809863691
"1945",6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,4.74315420708497
"1948",5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,4.69674025301363
"1951",8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,5.87797894403502
"1955",8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,5.87797894403502
"1957",7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5,5.78918846669972
"1958",7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6,5.53675520178725
"1980",7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9,6,5.3602136346588
"1982",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,5.72264019844598
"1991",6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4,4.75364494099317
"2006",7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,5.78659455725148
"2017",6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7,6.33309880165749
"2028",6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5,5.42729708724211
"2030",7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6,5.39767933997186
"2032",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.90720761131584
"2036",8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5,5.83826188498991
"2038",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.90720761131584
"2041",6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,6,5.79753460339147
"2043",5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6,5.66297274379266
"2054",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,5.98216844304132
"2055",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,5.98216844304132
"2060",5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5,4.74382661767026
"2069",5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6,6.07832846921277
"2102",6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6,6.37137057478516
"2107",8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5,5.5675311549915
"2109",7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,5.73949349960362
"2111",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,5.6275743732411
"2114",5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5,5.41999739769325
"2116",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,5.6275743732411
"2123",6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5,5.90199268827837
"2130",6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5,6.19144073319695
"2137",7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6,6.08194494209841
"2139",5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5,5.7647221013812
"2141",7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,5.65976657726649
"2143",7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5,5.68580998648495
"2146",7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6,5.99093168705335
"2150",6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,6.41656938714465
"2164",8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,6.35031309853861
"2170",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,5.70566087649688
"2173",6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,5.27303828821975
"2177",6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,5.27303828821975
"2182",7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6,6.00176603191876
"2196",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,5.17151709245247
"2203",7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,5.72620336294045
"2205",7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5,5.42276867739024
"2213",7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,6.09868296316836
"2217",7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5,5.53942838876355
"2220",6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7,6.68019753567061
"2221",7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6,5.85244495687451
"2234",6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5,4.90689357731341
"2240",6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6,4.99301453987272
"2245",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,5.33635470907046
"2246",7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7,5.95977292852593
"2249",7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6,5.97187163473
"2272",6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,5.97530484119083
"2274",6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5,5.07988410957754
"2278",7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6,6.31766574751027
"2285",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,5.80756114434964
"2292",8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6,6.12503877076488
"2299",6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,6.53638257748532
"2304",6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5,5.21146101295276
"2308",6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,5.50942546304292
"2310",8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,5.72872208766676
"2312",7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7,6.69331444502335
"2314",6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7,6.65838329143742
"2326",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,5.08244773384103
"2327",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,5.36931379019138
"2329",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,5.36931379019138
"2339",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5,5.63042312926745
"2340",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,5.77122188091406
"2343",7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8,6.38510596865279
"2344",6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5,6.21955910357599
"2346",8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6,5.99834777605739
"2351",7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5,5.97745664931463
"2353",6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6,5.00368445003396
"2356",7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7,6.39835887253784
"2362",8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5,5.59756696072938
"2364",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,5.86782885314549
"2368",7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6,5.38186635394575
"2369",7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6,6.26199858382884
"2391",7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8,6.05079962358499
"2408",7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,6.14154631485457
"2410",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,5.94342694019244
"2411",7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6,6.02586831540597
"2414",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,5.94342694019244
"2424",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6,5.9046470307492
"2429",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6,6.21308152634219
"2440",7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6,5.9717204933143
"2446",6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5,5.53982765376671
"2448",6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6,5.83849103706915
"2449",6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,5.85215465191042
"2453",7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,6.36988044084726
"2454",6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6,6.29920775533094
"2456",7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,5.75053698898655
"2462",8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5,5.19037053144184
"2463",8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,5.21052034352713
"2472",5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7,6.46184772122338
"2474",6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6,5.96416211927795
"2481",6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5,5.52817603664368
"2502",6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5,5.49162292346322
"2503",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,4.99990434420697
"2504",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,4.99990434420697
"2508",7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,6.6068385040474
"2511",6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6,5.50456315967737
"2513",5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6,5.85038485667802
"2515",6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7,6.56453846151861
"2516",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,6.745441594237
"2524",8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5,6.29720832651269
"2528",7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6,5.92014450926624
"2539",5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,5.65851816767585
"2545",6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6,5.76664459331211
"2546",7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6,6.12636247606021
"2553",6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,5.2314904838184
"2562",6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5,5.40985830778868
"2565",6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6,5.34500113747196
"2587",6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,5.40528651853073
"2591",6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6,6.44094054761021
"2593",7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5,5.74937877956941
"2594",6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5,6.33545389974106
"2602",6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5,6.11229984116152
"2616",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,6.54404951597159
"2617",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,6.54404951597159
"2624",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,6.54404951597159
"2628",7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7,6.31628339598232
"2637",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,5.65683144307336
"2644",8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5,5.58838242433507
"2654",6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5,5.28062167423198
"2659",6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7,6.42775114353911
"2661",6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,5.17458688881839
"2675",7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7,5.70499502536278
"2677",7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6,6.58837579682624
"2678",6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6,6.41408689393365
"2681",8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6,6.98517251201262
"2682",7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,5.56794775204639
"2683",7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6,6.37175948113373
"2687",8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6,6.98517251201262
"2691",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,5.33752459888147
"2692",6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6,6.15246928883226
"2696",5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6,6.57442253792108
"2717",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,5.85603590612478
