,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,predtest,Residual,,
1011,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,5.979488109,-0.020511891,,
1013,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6,5.652298114,-0.347701886,,
1022,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,6.221114638,-0.778885362,,
1033,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,5.727526357,-0.272473643,,
1036,8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6,6.077858887,0.077858887,,
1048,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,5.539373676,0.539373676,,
1050,6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,6.557223832,0.557223832,,
1059,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,6.033470834,0.033470834,,
1066,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,5.731921303,0.731921303,,
1070,6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,6.154267095,0.154267095,,
1072,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,5.731921303,0.731921303,,
1077,7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,5.722870483,-0.277129517,,
1090,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7,5.928696026,-1.071303974,,
1092,7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,5.656333074,-0.343666926,,
1097,6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,5.837153383,-0.162846617,,
1099,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6,5.763920141,-0.236079859,,
1106,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,7,6.277676425,-0.722323575,,
1109,6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7,6.513007018,-0.486992982,,
1112,8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,6.432310409,0.432310409,,
1117,5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,5.379559067,0.379559067,,
1127,6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,7.014418869,0.014418869,,
1129,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,5.659422228,0.659422228,,
1145,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5,5.673037332,0.673037332,,
1150,6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,5.672960292,0.672960292,,
1157,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,5.455278811,-0.544721189,,
1162,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,5.455278811,-0.544721189,,
1165,8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,5.516472862,-0.483527138,,
1166,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,6.042822039,1.042822039,,
1169,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,5.974196188,0.974196188,,
1176,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5,5.321210248,0.321210248,,
1178,6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,5.538931685,-0.461068315,,
1183,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,6.248322458,1.248322458,,
1190,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,4.99405209,-0.00594791,,
1191,7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,6.457689602,0.457689602,,
1195,6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6,5.565464826,-0.434535174,,
1200,7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7,5.941997377,-1.058002623,,
1201,6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6,6.219067317,0.219067317,,
1204,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,5.614737304,-0.385262696,,
1208,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,5.227966,0.227966,,
1210,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,6.680357714,0.680357714,,
1220,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8,5.898851708,-2.101148292,,
1221,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6,5.897834257,-0.102165743,,
1222,5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7,6.638654187,-0.361345813,,
1225,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,6.647011712,-0.352988288,,
1227,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,6.647011712,-0.352988288,,
1231,7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6,5.334650819,-0.665349181,,
1233,7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7,6.371355338,-0.628644662,,
1238,7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,6.158738517,1.158738517,,
1244,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,6.360372263,-0.639627737,,
1245,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,5.571931034,0.571931034,,
1247,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,5.805980914,-1.194019086,,
1252,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,5.192647657,0.192647657,,
1259,6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,5.479131788,-0.520868212,,
1265,7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,5.830777899,0.830777899,,
1269,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,5.387945065,0.387945065,,
1278,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,5.387945065,0.387945065,,
1280,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6,5.879854785,-0.120145215,,
1282,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,6.227753829,-0.772246171,,
1287,6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7,6.158969892,-0.841030108,,
1289,7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,6.46301428,-0.53698572,,
1290,6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,6.224284332,0.224284332,,
1297,7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6,5.752353443,-0.247646557,,
1298,7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7,6.164714792,-0.835285208,,
1300,7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,6.138977793,1.138977793,,
1303,7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,5.597399,-0.402601,,
1306,7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7,5.816341086,-1.183658914,,
1307,6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,6.524896325,-1.475103675,,
1312,6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6,6.02991778,0.02991778,,
1315,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6,5.346141435,-0.653858565,,
1321,7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,6,6.445184516,0.445184516,,
1325,6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,6.062460091,0.062460091,,
1328,6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6,5.633411937,-0.366588063,,
1329,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,5.901007525,-0.098992475,,
1330,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,5.293981761,0.293981761,,
1334,7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8,6.916678387,-1.083321613,,
1338,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,5.86010687,0.86010687,,
1348,8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7,6.103552937,-0.896447063,,
1355,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,5.691567355,0.691567355,,
1359,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,6.173927104,-1.826072896,,
1361,6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6,6.213376602,0.213376602,,
1366,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7,5.895650782,-1.104349218,,
1367,7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6,6.201798323,0.201798323,,
1376,6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7,6.018886653,-0.981113347,,
1377,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6,5.772519905,-0.227480095,,
1385,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6,5.893482909,-0.106517091,,
1390,8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6,5.945892653,-0.054107347,,
1392,6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6,6.564180517,0.564180517,,
1396,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,6.533889386,-0.466110614,,
1403,7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8,5.837816252,-2.162183748,,
1409,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,5.368223026,-1.631776974,,
1412,7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6,6.3819971,0.3819971,,
1417,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6,5.689688648,-0.310311352,,
1427,7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6,6.351446634,0.351446634,,
1429,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7,6.076602662,-0.923397338,,
1431,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,4.979668823,0.979668823,,
1440,6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,5.49541019,0.49541019,,
1445,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,6.075993848,0.075993848,,
1449,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,6.138426805,0.138426805,,
1453,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,6.075993848,0.075993848,,
1457,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,6.150460008,0.150460008,,
1463,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,6.138426805,0.138426805,,
1468,7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7,6.507166864,-0.492833136,,
1469,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,5.412534129,0.412534129,,
1472,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,6.075993848,0.075993848,,
1474,7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6,6.16073148,0.16073148,,
1475,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,5.147506697,1.147506697,,
1476,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,5.8569475,-0.1430525,,
1484,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,5.147506697,1.147506697,,
1487,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,5.745517622,-0.254482378,,
1491,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,6.119168887,0.119168887,,
1493,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5,5.783451577,0.783451577,,
1496,7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,7,6.552666564,-0.447333436,,
1499,7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6,6.245741238,0.245741238,,
1501,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,6.175206442,-0.824793558,,
1502,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,5.61101703,0.61101703,,
1503,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,5.088590784,0.088590784,,
1511,8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5,5.554175587,0.554175587,,
1515,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,6.175206442,-0.824793558,,
1522,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,5.088590784,0.088590784,,
1525,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6,5.798613051,-0.201386949,,
1529,7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,5.983153405,-0.016846595,,
1533,7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7,6.19295847,-0.80704153,,
1548,6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6,5.449662274,-0.550337726,,
1555,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,5.686922407,-1.313077593,,
1557,7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6,5.85969774,-0.14030226,,
1595,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,5.208422251,-0.791577749,,
1596,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,5.522884282,-0.477115718,,
1604,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,6.584772214,-0.415227786,,
1606,7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9,6.762133094,-2.237866906,,
1608,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7,5.828921541,-1.171078459,,
1610,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,7,6.067843663,-0.932156337,,
1613,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,6.030241492,-0.969758508,,
1614,8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7,6.212217693,-0.787782307,,
1615,8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5,6.140712836,1.140712836,,
1617,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,5.287571646,-0.712428354,,
1620,6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8,6.366270539,-1.633729461,,
1621,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,6.030241492,-0.969758508,,
1623,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6,4.770112104,-1.229887896,,
1629,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,6.068827615,0.068827615,,
1630,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,5.626225406,-0.373774594,,
1631,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5,5.878967319,0.878967319,,
1635,8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6,5.745317432,-0.254682568,,
1640,7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,5.903009314,0.903009314,,
1642,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6,5.913284488,-0.086715512,,
1643,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7,5.836334982,-1.163665018,,
1649,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5,5.619130193,0.619130193,,
1651,7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7,6.546258874,-0.453741126,,
1658,7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6,5.618052442,-0.381947558,,
1659,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,5.179437192,0.179437192,,
1666,6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8,6.663273696,-1.336726304,,
1668,8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,6,6.071267809,0.071267809,,
1669,7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7,5.935714792,-1.064285208,,
1686,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,5.590670186,-1.409329814,,
1693,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6,6.384417617,0.384417617,,
1695,7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6,5.605925431,-0.394074569,,
1696,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,6.108088691,0.108088691,,
1702,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,5.943189289,0.943189289,,
1704,6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,5.196958493,0.196958493,,
1706,6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6,6.171538439,0.171538439,,
1710,6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5,5.964214001,0.964214001,,
1713,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,5.612861335,-0.387138665,,
1714,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6,5.330792168,-0.669207832,,
1717,7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,6.122417962,0.122417962,,
1718,6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6,5.503769153,-0.496230847,,
1722,8.2,0.15,0.48,2.7,0.052,24,190,0.995,3.5,0.45,10.9,7,6.08733475,-0.91266525,,
1725,7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6,6.151507362,0.151507362,,
1730,7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6,6.547443321,0.547443321,,
1732,8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6,5.903537563,-0.096462437,,
1735,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,5.754566408,-0.245433592,,
1737,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,4.952585599,-0.047414401,,
1743,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6,5.909896899,-0.090103101,,
1755,6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6,6.319998259,0.319998259,,
1761,6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6,5.839411031,-0.160588969,,
1762,8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6,5.754701811,-0.245298189,,
1764,7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6,6.00200148,0.00200148,,
1774,7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6,5.652883025,-0.347116975,,
1778,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,5.803977618,-0.196022382,,
1783,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,6.624730339,0.624730339,,
1790,7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7,6.698241906,-0.301758094,,
1793,7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6,5.788454179,-0.211545821,,
1795,6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5,5.020726466,0.020726466,,
1797,7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,6.016687503,1.016687503,,
1798,6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8,6.398540768,-1.601459232,,
1800,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6,5.857167445,-0.142832555,,
1801,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6,5.600986404,-0.399013596,,
1806,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,5.407691111,0.407691111,,
1809,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,5.407691111,0.407691111,,
1813,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,6.040267061,0.040267061,,
1817,6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7,6.804477679,-0.195522321,,
1819,6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6,6.543813854,0.543813854,,
1821,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6,6.083565564,0.083565564,,
1823,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7,6.213078934,-0.786921066,,
1838,7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,6.329010869,-0.670989131,,
1848,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,5.255463536,0.255463536,,
1850,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6,6.17222763,0.17222763,,
1862,7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10,6,6.049871679,0.049871679,,
1864,6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5,5.585008537,0.585008537,,
1865,7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6,5.926845268,-0.073154732,,
1877,8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6,5.747205474,-0.252794526,,
1881,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,5.733060004,0.733060004,,
1884,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,5.733060004,0.733060004,,
1890,7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5,6.01859806,1.01859806,,
1891,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,5.733060004,0.733060004,,
1896,7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6,5.75909041,-0.24090959,,
1907,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,5.556051836,0.556051836,,
1908,7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7,6.442345359,-0.557654641,,
1909,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,6.285276733,-0.714723267,,
1917,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,5.487524768,0.487524768,,
1923,7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5,5.668030139,0.668030139,,
1929,7,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,6.164634156,0.164634156,,
1936,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,5.790752749,0.790752749,,
1940,6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5,5.198713386,0.198713386,,
1944,6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5,5.776225846,0.776225846,,
1945,6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,4.723870909,-0.276129091,,
1948,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,4.676832611,-0.323167389,,
1951,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,5.880491532,0.880491532,,
1955,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,5.880491532,0.880491532,,
1957,7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5,5.79024769,0.79024769,,
1958,7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6,5.526716605,-0.473283395,,
1980,7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9,6,5.34615411,-0.65384589,,
1982,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,5.71448581,-2.28551419,,
1987,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,5.824041981,-0.175958019,,
1991,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4,4.725094968,0.725094968,,
2006,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,5.791346785,-0.208653215,,
2017,6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7,6.3203845,-0.6796155,,
2028,6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5,5.424621289,0.424621289,,
2030,7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6,5.385336611,-0.614663389,,
2032,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.901952792,0.901952792,,
2036,8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5,5.841388239,0.841388239,,
2038,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.901952792,0.901952792,,
2039,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,5.542588785,0.542588785,,
2041,6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,6,5.793993929,-0.206006071,,
2043,5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6,5.656924626,-0.343075374,,
